,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
14,0.009389781951904297,8.763932293301802e-05,0.000547027587890625,6.841867186918463e-05,0.2,cholesky,"{'alpha': 0.2, 'solver': 'cholesky'}",-322.45732815104793,-323.85772792412433,-312.0323505850547,-328.3712348269519,-308.9310564668729,-319.12993959081035,7.3921312416286415,1,-314.6719006053967,-314.1960291070847,-317.24693073659523,-313.2469564797924,-318.20096853585864,-315.5125570929455,1.887246853387517
15,0.004714584350585938,2.6061931733940015e-05,0.0,0.0,0.2,sgd,"{'alpha': 0.2, 'solver': 'sgd'}",,,,,,,,63,,,,,,,
16,0.030358505249023438,0.0029667661674460505,0.0005409717559814453,6.893554828072052e-06,0.2,svd,"{'alpha': 0.2, 'solver': 'svd'}",-322.4573281510544,-323.8577279241095,-312.0323505850702,-328.37123482694636,-308.93105646687576,-319.12993959081126,7.392131241622185,2,-314.67190060539724,-314.1960291070846,-317.2469307365955,-313.24695647979644,-318.20096853585886,-315.5125570929465,1.8872468533866302
17,0.027541112899780274,0.006040680762097643,0.0005672454833984375,7.234130456603606e-05,0.2,lsqr,"{'alpha': 0.2, 'solver': 'lsqr'}",-331.4053833941925,-330.1081517326798,-321.77748076045054,-334.55786960883216,-314.5113023420803,-326.472037567647,7.321720532986896,52,-322.1503055780832,-322.39202606087565,-325.0279975329351,-321.5767963803087,-325.55804459082196,-323.3410340286049,1.6243131805957416
18,0.030329513549804687,0.002794485325209115,0.0005373954772949219,1.5839321749496165e-05,0.2,sparse_cg,"{'alpha': 0.2, 'solver': 'sparse_cg'}",-327.72720166868066,-326.93186651609085,-315.96638531029555,-329.88670457568173,-315.34158607732,-323.17074882961373,6.216268550017797,37,-318.69290044242325,-318.785816556584,-321.5955066876114,-318.05956941300866,-322.061872244401,-319.83913306880567,1.650187228486453
19,3.3084020137786867,0.06092763264083901,0.0005875110626220703,9.326281456403404e-06,0.2,sag,"{'alpha': 0.2, 'solver': 'sag'}",-323.2813045535866,-323.8685833458237,-312.275343905373,-328.26966401424926,-309.772787371054,-319.4935366380173,7.170828457553821,11,-315.0398355892349,-314.6727686350671,-317.6766033597938,-313.7446033632258,-318.57869146140104,-315.94250048174445,1.855499409167803
20,4.2972136497497555,0.24812847452366776,0.0006642341613769531,0.00015048726881083965,0.2,saga,"{'alpha': 0.2, 'solver': 'saga'}",-324.0496403036842,-324.14738568185487,-312.68600176691655,-328.2062249180884,-310.6382965035805,-319.9455098348249,6.957926970117623,19,-315.5018841566981,-315.20230269029094,-318.1555692417925,-314.4807799330625,-319.0501263682074,-316.47813247801025,1.7888077755089025
21,0.009527254104614257,8.379921620639404e-05,0.0005107402801513671,8.336335535621719e-06,0.3,cholesky,"{'alpha': 0.3, 'solver': 'cholesky'}",-322.57818999508834,-323.8212493761091,-312.0675040264603,-328.2683938272699,-309.07136453386505,-319.16134035175855,7.327457436546001,3,-314.7172892254726,-314.2554700687322,-317.29942806740945,-313.3078647618718,-318.2461972783913,-315.56524988037546,1.8828277104294842
22,0.004967594146728515,0.0004328675772974394,0.0,0.0,0.3,sgd,"{'alpha': 0.3, 'solver': 'sgd'}",,,,,,,,59,,,,,,,
23,0.02902059555053711,0.002377957287839707,0.0005419731140136718,4.781228851358462e-06,0.3,svd,"{'alpha': 0.3, 'solver': 'svd'}",-322.5781899950859,-323.8212493761003,-312.06750402647367,-328.26839382727456,-309.0713645338769,-319.1613403517623,7.3274574365399685,4,-314.71728922547175,-314.25547006873114,-317.2994280674096,-313.3078647618759,-318.2461972783933,-315.56524988037637,1.8828277104293276
24,0.028344011306762694,0.006201561885596612,0.0005693912506103515,7.057454130021875e-05,0.3,lsqr,"{'alpha': 0.3, 'solver': 'lsqr'}",-331.3978047751554,-330.108907336591,-321.7714521413733,-334.55451130567167,-314.51820696105267,-326.47017650396884,7.318550925254816,51,-322.15065874307294,-322.39236645429844,-325.028326332866,-321.57714202646144,-325.5584051687977,-323.3413797450993,1.6243132689201776
25,0.028284835815429687,0.0016395881415428013,0.0005411148071289062,1.369411233189505e-05,0.3,sparse_cg,"{'alpha': 0.3, 'solver': 'sparse_cg'}",-327.7286050881812,-326.93374149378775,-315.97999483075563,-329.6369124206842,-315.3537656053119,-323.1266038877441,6.157075035640263,35,-318.69458845888477,-318.7867262052249,-321.59603953740725,-317.84882469546676,-322.0616935385425,-319.79757448710524,1.6968635651742883
26,3.2373063564300537,0.059129870792509795,0.0006083488464355469,2.251287553786701e-05,0.3,sag,"{'alpha': 0.3, 'solver': 'sag'}",-323.367815865415,-323.8955634531187,-312.3368887899056,-328.2334965677557,-309.88387581338696,-319.5435280979164,7.131976907452146,14,-315.09626850149806,-314.740870973429,-317.74122470747807,-313.824473947683,-318.63623918363584,-316.0078154627448,1.8502089200534995
27,4.224240303039551,0.23048393900579436,0.0005927562713623046,5.114398070446748e-06,0.3,saga,"{'alpha': 0.3, 'solver': 'saga'}",-324.12337383536453,-324.1885204124255,-312.7546437754726,-328.2090617784108,-310.7296547921709,-320.00105091876884,6.933528566086761,20,-315.56145962913877,-315.27028569611406,-318.22216674643175,-314.5518097799976,-319.10738158992183,-316.54262068832077,1.7857051757132225
28,0.009433650970458984,7.558502206837908e-05,0.0005015850067138672,1.3445962378793551e-05,0.7,cholesky,"{'alpha': 0.7, 'solver': 'cholesky'}",-323.01978581253667,-323.83815436260153,-312.27880272481985,-328.0646636245017,-309.58584076769046,-319.3574494584301,7.139980091385462,7,-314.948380873516,-314.5476113835316,-317.5640823586706,-313.6096975478514,-318.47552750844903,-315.82905993440374,1.8631891386997586
29,0.004748106002807617,4.661238709219785e-05,0.0,0.0,0.7,sgd,"{'alpha': 0.7, 'solver': 'sgd'}",,,,,,,,56,,,,,,,
30,0.05459609031677246,0.014376058571149361,0.0007586956024169921,0.00017316946545363045,0.7,svd,"{'alpha': 0.7, 'solver': 'svd'}",-323.01978581253894,-323.8381543625916,-312.2788027248316,-328.0646636244982,-309.58584076769483,-319.35744945843106,7.139980091380071,8,-314.9483808735153,-314.5476113835324,-317.5640823586708,-313.6096975478558,-318.4755275084496,-315.82905993440477,1.8631891386988748
31,0.02398529052734375,0.002027993437650756,0.0005434989929199219,1.9838718135132045e-05,0.7,lsqr,"{'alpha': 0.7, 'solver': 'lsqr'}",-331.369114400253,-330.11324891868964,-321.74877935064427,-334.5426106064501,-314.54701045691706,-326.46415274659086,7.306012040863011,49,-322.15344971416295,-322.39505782839063,-325.03092803053363,-321.5798748170737,-325.5612561152395,-323.3441133010801,1.6243146053509108
32,0.027520465850830077,0.0020062376656337626,0.0005347251892089844,8.22512999236968e-06,0.7,sparse_cg,"{'alpha': 0.7, 'solver': 'sparse_cg'}",-327.71750729691337,-327.2893050289432,-315.99713514027343,-329.90491226618315,-315.2660607523844,-323.2349840969395,6.275486770470707,38,-318.70140929043987,-319.2413502437321,-321.6035231539202,-318.0682005054732,-322.07041645703765,-319.93697993012063,1.601985626364215
33,2.830818843841553,0.05613616983088406,0.0006108283996582031,1.6288020275870335e-05,0.7,sag,"{'alpha': 0.7, 'solver': 'sag'}",-323.6968936832787,-324.0323008054007,-312.58665140524147,-328.1619890769708,-310.2890553140317,-319.7533780569847,7.007147929803581,16,-315.3307288546991,-315.01843805580774,-317.9990431610175,-314.1376015985404,-318.8673396163405,-316.270630257281,1.829290675439221
34,3.799973964691162,0.17779036747002244,0.0005985736846923828,2.269865080912e-06,0.7,saga,"{'alpha': 0.7, 'solver': 'saga'}",-324.3942610406828,-324.36154608732045,-313.01578090725457,-328.2470198574175,-311.08120275023487,-320.21996212858204,6.847310346726781,24,-315.79212856743595,-315.5417534653738,-318.4764447343886,-314.82879285350566,-319.337753111276,-316.79537454639603,1.7739897185729752
35,0.009415769577026367,5.3775013219036515e-05,0.0005091190338134766,3.974088008120467e-06,2,cholesky,"{'alpha': 2, 'solver': 'cholesky'}",-324.082311183959,-324.33424563439723,-313.08971670373137,-328.13797161186875,-310.8251241678362,-320.0938738603585,6.834673833323283,22,-315.7353355997388,-315.4838103024462,-318.44038268253706,-314.59218858565316,-319.24890388952235,-316.7001242119795,1.809884338104074
36,0.004806661605834961,7.384583569874295e-05,0.0,0.0,2,sgd,"{'alpha': 2, 'solver': 'sgd'}",,,,,,,,62,,,,,,,
