,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12,0.021968698501586913,0.00018150163628106856,0.0012386798858642577,1.789289740217043e-05,5,2,3,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 3}",-334.92929910499635,-358.90796062979825,-371.345108763029,-330.45064512584315,-327.38449528712874,-344.603501782159,17.378830918632346,36,-345.56426571291763,-337.7389614206381,-331.7284306240943,-338.68815453476293,-335.9959762473828,-337.94315770795913,4.496495346073007
13,0.06663098335266113,0.0010327592162882795,0.002338123321533203,8.640091938012967e-05,5,2,10,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 10}",-299.9202863239687,-317.43333664438774,-328.17082214316133,-286.2358383197165,-286.7459275244664,-303.7012421911401,16.69820000005168,35,-308.09235671289724,-294.8838170223298,-289.84731992132015,-298.341204478337,-301.0461725273457,-298.442174132446,6.106561234956343
14,0.1968355655670166,0.0020807559136928923,0.0052512168884277345,3.670140985902679e-05,5,2,30,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 30}",-293.3546626734976,-309.6978274526918,-329.5526285245115,-287.08950711830664,-292.5391184959539,-302.4467488529923,15.517595804186513,34,-302.0403288469093,-287.0829921414163,-290.88192083719815,-299.5913063277521,-304.11560683120405,-296.74243099689596,6.606025620571459
15,0.03700852394104004,0.00045284411768598416,0.0012773513793945313,3.4102892178598496e-05,5,4,3,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 3}",-288.37766010390914,-307.36305435107573,-312.4001327743432,-277.60078705253363,-280.100819445642,-293.1684907455007,14.194443848124804,32,-292.3099426793479,-289.7100229565981,-275.05002642044633,-277.4491392337858,-293.43214676878654,-285.5902556117929,7.758816165700721
16,0.11713933944702148,0.003351231342505809,0.0023643970489501953,5.555163125614025e-05,5,4,10,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 10}",-270.2751256179002,-301.55082909823795,-309.21821342222813,-260.059535509229,-265.99503323854077,-281.4197473772272,19.98198297055381,31,-277.6804249615001,-276.43441256944527,-269.9187543421158,-268.1075449589101,-276.967688658096,-273.8217650980135,3.987425800105402
17,0.3443432807922363,0.003721220613649984,0.005328989028930664,2.673930000676476e-05,5,4,30,"{'max_depth': 5, 'max_features': 4, 'n_estimators': 30}",-266.2500533911607,-291.1360300070721,-302.2915863303209,-259.85467687385085,-263.81171663515556,-276.668812647512,16.86652028995354,29,-270.27415001386055,-268.97984928258666,-265.17814868743903,-269.7293221661499,-270.3654377070927,-268.9053815714258,1.9277956055254442
18,0.05005836486816406,0.0008614431672146056,0.0013126850128173829,3.733071592855657e-05,5,6,3,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 3}",-288.14041300766894,-308.4292010201489,-330.68426847174936,-272.7717870751131,-278.6161037903918,-295.7283546730144,21.263289455310655,33,-290.61997870368924,-286.52353229745154,-298.64556901468376,-286.9432940559246,-281.641874069464,-288.8748496282426,5.65840911160489
19,0.16096339225769044,0.0009914927855577352,0.002425384521484375,6.537703502424495e-05,5,6,10,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 10}",-261.4998687336241,-275.82450031054236,-297.04472000157403,-258.35741636039234,-259.71690862187353,-270.4886828056013,14.681223266815167,28,-259.69707294820546,-254.84227861274272,-261.17064079263037,-268.50828349756875,-268.61223526944735,-262.56610222411894,5.323557755126237
20,0.4848938465118408,0.0026553385909976594,0.005652666091918945,0.0005109132695999217,5,6,30,"{'max_depth': 5, 'max_features': 6, 'n_estimators': 30}",-255.7594076413578,-279.30961371927333,-290.15251290481046,-250.34898814916437,-257.7561366586485,-266.66533181465087,15.33663295157793,27,-255.40436212088852,-257.12907448458606,-253.89889984934746,-261.3672646274265,-264.115637107205,-258.3830476378907,3.8031757922092315
21,0.06542129516601562,0.0019149760943475214,0.0013815402984619141,2.0807591351042647e-05,5,8,3,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 3}",-247.60459428507394,-295.9297360208254,-310.62082281080365,-267.19032070912084,-272.72249560422983,-278.8135938860107,22.139854322770756,30,-250.1138583467274,-280.49199518846257,-275.37259159618736,-269.4908439352343,-286.7633751848306,-272.44653285028846,12.535930008548606
22,0.20806269645690917,0.0013448469198014022,0.002521181106567383,0.00014574468262468533,5,8,10,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 10}",-239.5312875686723,-272.64146416068263,-286.2106919247493,-241.98728372867606,-249.37715715574268,-257.9495769077046,18.341519779856014,26,-238.46321904745048,-249.3996712494846,-251.45839028814254,-249.12743537288742,-255.45703351384003,-248.78114989436102,5.633777018802463
23,0.6337844371795655,0.004542772140696871,0.005627775192260742,0.00012433674967813943,5,8,30,"{'max_depth': 5, 'max_features': 8, 'n_estimators': 30}",-237.739446066697,-261.6583819625725,-271.6019138868813,-233.02873147003945,-240.1250131625601,-248.83069730975004,15.043834038976987,25,-234.22113025247307,-241.88819237036677,-236.84366441490192,-240.22089144631946,-247.40393656924533,-240.1155630106613,4.510506756838959
